text,label,source
supply quality china exclusive dimension unbeatable price dear sir pleased inform one china largest export import sto ne company wanlistone group group subsidiary specialize uarrying processing sale dimension stone slab tile dimen sion stone product building material sector specialty market group operation based xiamen south china lar gest export import business portal china wanlistone owns operates various natural stone deposit square meter th country addition quarry wanlistone fully automated pro cessing plant processing granite marble granite prod ucts wanlistone supply granite raw block form granite marble tile strip varying dimension memorial material specialty product local specifically export market group full rang china natural stone product including pink color yellow color dark black,1,Email
sidlet know thx,0,Email
dear friend greeting wish accost request would immense benefit u executor will possible may tempted make fortune client situation cannot help left better option issue presenting case client willed fortune next kin unfortunate next kin died day st october egyptian airline passenger board confirm website published bbc world news website urltoken faced confusion pas fortune according english law fortune supposed bequeathed government nobody come forward next kin within seven year demise benefactor purpose contacting seek acting beneficiary lay claim legacy million deceased client bequeathed next kin alone know client great confidence everything left share would would want give huge part share tsunami victim primary objective amend add codicil make beneficiary million legacy feel may apprehensive consider amount big defend matter document back legacy passed next kin sure getting consent issue prefer divulge full identity risk disbarred english bar considers breach oath english bar need emphasize sensitivity issue need toyed neglecting confidentiality therefore appeal discus request anybody even decline request look forward hearing soon trulystephen ayling,1,Email
mr cheung puihang seng bank ltd de voeux rd branch central hong kong hong kong let start introducing mr cheung pui director operation hang seng bank ltd urgent business suggestion honestly apologize hope cause much embarrassment contacting mean transaction magnitude due confidentiality prompt access reposed medium furthermore due issue hand became necesary seek assistance imperative know opinionbefore iraqi war client major fadi bassem iraqi force also business man made numbered fixed deposit calendar month value twenty four million five hundred thousand united state dollar branch upon maturity several notice sent even war early year war another notification sent still response came later find major family killed war bomb blast hit home investigation also discovered major fadi basem declare next kin official paper including paper work bank deposit also confided last time office one except knew deposit bank twenty four million five hundred thousand united state dollar still lying bank one ever come forward claim bother according law country expiration year fund revert ownership hong kong government nobody applies claim fund backdrop suggestion like foreigner stand next kin major fadi basem able receive fund done want know everything planned shall come successful contacted attorney prepare necessary document back next kin major fadi basem required stage provide full name address attorney commence job made next kin attorney also file claim behalf secure necessary approval letter probate favor move fund account provided risk involved matter going adopt legalized method attorney prepare necessary document please endeavor observe utmost discretion matter concerning thisissue fund transferred nominated bank account shall share ratio expense incure transaction interested please send full name current residential address prefer reach via private box che pui yahoo com hk finally shall provide detail operation earliest response letter appreciated kind regard mr cheung pui mail envoy par le service webmail du site php nuke urltoken,1,Email
surprising assessment embassy,0,Email
monica huma abedin tuesday june hanleymr state gov hre already locked tonite seeing right actually,0,Email
pi print thursday october pm jilotylc state gov fw whi powder coatingb,0,Email
dear tom friday december pmcould schedule call several matter like discus weekend hoping schedule call free tonightafter tomorrow btw sunday btw ham pm time work way still laughing yurt hillary,0,Email
greeting barrister robert williams cdear friend know letter come surprise ased fact contact first time eit person correspondent believe relationship sta rts day name barrister robert williams british ci tizen year old married three kid two boy irl please know came contact got contact personal search via internet pleased information gathered summoned courage enga ge business relationship achievement u matter urgency great value main reason contacti ng today based business transaction one client ho senior bank director disclosed order transfer sum u seventeen million five hundred thousand united st ate dollar deposited bank top government icials reliable foreign bank account mandated search honest partner abroad work jointly u achieve gre opportunity fund deposited bank african top pol iticians used position office embezzle government treasury politician ran away country soon new government took power avoid probing misapp ropriation embezzlement government fund new government power ordered confiscation property including th eir bank account evil operation discussion senior director contacting told financial autho rity visiting bank next month investigation however convinced deal must successful risk free unds transferred secretly account without hitch promis relate deal person till hear er mind none u like involved kind busin es stain jeopardize position office name protect society note mechan ism mapped actualization project project concluded within bank working day day start process give detail next st ep soon confirm ability interest participant project assurance project effect harm provide necessary document cover transfer account need provide ex isting bank account set new account money trans ferred name considering source fund entit led assistance u origi nator deal kept aside expense may encore process arranging necessary document wil help u facilitate deal confirm acceptance th anks understanding remain blessed wait urgent responds eyours sincerely crobert williams esq,1,Email
fyi thanks signing book hope get royalty mongolia also thought would like tosee attached letter president clinton,0,Email
pls putrelease partb friday july pm jilotylc state gov russorv state gov fw bravalon call list letter wishing well etc,0,Email
sure srap forward hope trip going well jm,0,Email
soliciting business venture partneship dear sir son late president federal republic zaire president mobutu sese seko republic congo leadership son mr laurent kabila presume aware financial dispute family mobutu present civilian government based believe bad corrupts governance late father part may soul rest peace presently cannot business holland many country world new friendly relationship present government western world might heard lot father bank account switzerland north american since frozen following mention reason soliciting humble confidential assistance take custody ten million five hundred thousand united state dollar u kg diamond also front area business desire profitable sum u diamond secretly deposited confidential security company easily withdrawn paid recommended beneficiary fund released security company based recommendation note presented partner fronting family subsequent venture show preparedness appreciation conduct business shall give fund commission profit realizable process investment fund role business willing make available eventual expense may occur process transaction please need entire support co operation success business venture utmost confidentiality secrecy highly required due family present predicament sincerely appreciate acknowledgement soon possible mail mail nzangamobutu combest regard mr nzanga mobutu fe bfc fa ad,1,Email
dear sir madam compliment season indeed pleasure write thisletter believe welcome mr edward govou manage creditand foreign bill eco bank du benin rep writing respect foreign customer bank perished eyg ptianair flight whole passenger aboard st oct since thedemise customer personally watched keen interest see next kin proved abortive one come cla imhis fund four million two hundred fifthy thousand dollar dormant account branch long time advice receive fund bank account since person aply receive fund next kin transacti oni legal lagitimate collegues visit co untryfor disbursment important document send proved note decided contact next kin one ha scome relation paying department look theor iginalnext kin deceased died country law notallow money stay five year money reca lledto gvernment treasury unclaimed period upon receipt required bellow information response iwill send application form fill aply therelease bank contact information regard tran saction fail bring notice free sh ouldnot entertain fear modality fund transfer finaliz ed within six banking day apply bank original relat ionto deceased fly country disbursment according tothe percentage claiming deposit transfer posi tion shall share fund mutual understanding agreed receive letter kindly send mail signifying yourgood decision receive fund peacefuly also forward therequied information original bebeficiary transfer fun din name favour full name address banking detail information want fund trasfered direct mobile phone fax number communication upon receive forward information required payingdepartment enable recorganise well send textof application inwhich fill apply immediately realse dof fund original next kin also like treat thistransaction utmost secrecy position bank oping successful business relationship benefit ur gentlycontact vai email bgovou hotmail comrespectfully submitted mr edward govou use melhor sistema de busca da internetradar uol urltoken,1,Email
dear bill tomi sorry cannot hill today long planned grateful thedepartment appreciate leadership everyday nursing cracked head cheering remain calm carry happy holiday hu department statecase doc date state dept produced house select benghazi comm subject agreement sensitive information redaction foia waiver state scb,0,Email
dr usman ali former specialadviser petroleum matter late head stateof nigeria gen sani abacha strategicposition former government also aclose confidant late head state able acquire personally sum usd twelve million five hundredthousand united state dollar presently lodgedin security company inform gold bar securitycompany nigeria want managementof security company know content theconsignments therefore registered content ofthe consignment gold bar securitycompany belief deposited wasgold barsi made money largely consultancy fee good faith fee paid foreign oil companiesprior allocation deep water oil bloc otherlifting prospecting right nigeria th largestproducer exporter crude petroleum world probably aware nigeria prone militarycoups resultant political economic instabilityhas fueled hyper inflation amongst problem therefore resolved invest money abroad preferable real estate property importationof good country safety optimumreturns investment however straight transfer money bankabroad present two major problem one taxincidence high much thismoney go tax levy penalty etc aresult government deliberate restriction flightof capital abroad also accused moneylaundering terrorism solution courier moneycash abroad form consignment courierservice company nigeria inconjunction embassy nigeria moneywill packed diplomatic bag carton taggeddiplomatic luggage address system secret money thereforeuntraceable system used top governmentofficials remove fortune safety abroad therefore concluded every arrangement acourier company nigeria courier moneyabroad using courtesy safety diplomaticbag need honest partner canreceive money behalf help investas aforementioned absolutely riskinvolved transaction money bedelivered united state dollar bill interested assisting please send tome email immediately preferred contact addresswhere money delivered upondelivery lodge money bankaccount contact necessary arrangement forthe investment help assistance deal willreceive money cash equity youwish join proposed company notified security company depositedthe consignment contained fund ammoving consignment abroad security companyhas since waiting authority theconsignment leave country move abroad know use fund honestly asi instructed detail given willbe able receive fund country throughthe security company also forward meyour telephone fax number easy communicationand fax document concerning theconsignments prompt response highly appreciated best regardsdr usman ali,1,Email
letter good go hrc,0,Email
yes stephen dc day work ops call think need push angolan minute fine move forward adjust,0,Email
yes lona list,0,Email
required information full name address private phone mobile fax number always reach soon information received attorney also issue letter authority power attorney regard making original beneficiary fund related document happiness lived life worthy emulation please always prayerfully life delay reply give room sourcing non governmental non religious non profit organization better still individual purpose please assure act stated herein hope hear soon god bless member family mr elena owen benefactor mail sent webmail service php nuke powered site urltoken,1,Email
burn going happen committed herwork doc like lyn heard rumor acompetitive hospital etc work hrc event hospital,0,Email
dear sir madam name engineer tony edem director general ministry wo rks housing nigeria wish extent business relationshi hope accept year minist ry awarded contract foreign firm building housing estate construction stadium abuja new capital territery meant concluded african game nigeria hosted october ear time awarding contract top member ontract awarding committee agreed overinvoiced volum contrac additional sum million dollar meant take care u last year contractor completed project ully paid overinvoiced sum million dollar centrum bank nigeria partner also completed arrangment ith top official bank release money fact original contractor foreigner looking fore ign partner assist u giving u bank account cho ice enable u accomplesh business based iam soliciting kind help get mutual busi ness go need account money transfered every arrangment put place make sure business run smoothly end business risk free acceptancereply shall negotiate percentage given assi sting u look forward kind immediate response,1,Email
