text,label,source
huh anyway check tube channel kobyoshi,1,YouTube
hey guy check new channel first vid u monkey monkey white shirt please leave like comment please subscribe,1,YouTube
test say murdev com,1,YouTube
shaking sexy as channel enjoy,1,YouTube
watch v vtarggvgtwq check,1,YouTube
hey check new website site kid stuff kidsmediausa com,1,YouTube
subscribe channel,1,YouTube
turned mute soon came wanted check view,0,YouTube
check channel funny video,1,YouTube
u check channel tell next,1,YouTube
hey subscribe,1,YouTube
started reading stop subscribe within one day entire family die want stay alive subscribe right,1,YouTube
[url],1,YouTube
subscribe like comment,1,YouTube
please like [url],1,YouTube
hello like gaming art video scientific experiment tutorial lyric video much much please check channel subscribe started soon hope able cover expectation also check got far,1,YouTube
checking view,0,YouTube
[url],1,YouTube
[url],1,YouTube
edm apparel company dedicated bringing music inspired design clothing perfect rave music festival neon crop top tank top shirt v neck accessory follow u facebook instagraml free giveaway news visit site oncueapparel,1,YouTube
think million view come people wanted check view,0,YouTube
subscribe channel people,1,YouTube
show auburn pride [url],1,YouTube
checking view,0,YouTube
check channel,1,YouTube
marketglory com strategygame andrijamatf earn real money game,1,YouTube
hey guy im yr old music producer make chiptunes bit music would wonderful checked bit remixes even gangnamstyle bit remix would like check thanks,1,YouTube
check kyle rap yeah,1,YouTube
dont even watch anymore come check billion,0,YouTube
billion coming soon,0,YouTube
dafuq korean song big usa mean support korean last time checked wanted bomb u,0,YouTube
check channel please listen best music ever p,1,YouTube
sub sub please like comment want succesfull youtube pplease like comment subscribe take second please subscribe ill subscribe back thanks,1,YouTube
youtube codytolleson awesome video subscribe back,1,YouTube
like roblox minecraft world warcraft gta mario suscribe channel,1,YouTube
subscribe subscribe must like czfcxsn jnq,1,YouTube
[url] come follow watch stream,1,YouTube
subscribe channel,1,YouTube
view pls comment view count next hour p,0,YouTube
[url],1,YouTube
go check view,0,YouTube
thumb u checked video see hw view got,0,YouTube
plz subscribe channel subscribe back xx,1,YouTube
check back often help reach x view avoid watching baby,0,YouTube
video get billion people checking hit billion yet,0,YouTube
[url] like facebook page chance win iphone,1,YouTube
get gwar play superbowl [url],1,YouTube
pls follow channel [url],1,YouTube
hi guy check youtube channel,1,YouTube
subscribe like video minecraft,1,YouTube
[url] great game check,1,YouTube
subscribe,1,YouTube
im check much view,0,YouTube
first comment chuck norrus ovbiously,0,YouTube
behold viewed youtube video history ever,0,YouTube
gonna hit billion,0,YouTube
viewed youtube video time,0,YouTube
dislike like dislike,0,YouTube
psy korean,0,YouTube
back quite,0,YouTube
billion,0,YouTube
plz check fablife welcome fablife diys challenge plz subscribe thx,1,YouTube
sub channel,1,YouTube
[url],1,YouTube
[url],1,YouTube
[url],1,YouTube
gt gt gt gt [url] lt,1,YouTube
[url] free c go,1,YouTube
admit came check number viewer,0,YouTube
check first video,1,YouTube
check channel,1,YouTube
psy gangnam style v [url],0,YouTube
suscribe channel please xd lol,1,YouTube
wow comment section still active bad also comment,0,YouTube
[url],1,YouTube
ching ching ling long ding ring yaaaaaa ganga sty fuck,0,YouTube
[url] please halp project,1,YouTube
one video channel brother,1,YouTube
video many view asian thing awesome non asian country jelly try learn asia looking video,0,YouTube
plizz withing channel,1,YouTube
made gaming channel unique right l angry minecraft,1,YouTube
please help go [url],1,YouTube
anybody subscribes get subscriber,1,YouTube
[url],1,YouTube
subscribe itz recap diddle,1,YouTube
screw chinese crap dont even understand saying speaking english like everyone,0,YouTube
need money enjoy [url],1,YouTube
sub channel visuelgamingznl sub back,1,YouTube
please subscribe new youtuber need help please subscribe subscribe back hoppa hoppa gangam style,1,YouTube
sub dont like song,1,YouTube
weird video,0,YouTube
million like xd even subscriber million xd,0,YouTube
ehi guy subscribe channel new youtuber play minecraft thanks guy subscribe,1,YouTube
hi everyone like music check music channel lexis band uploading song cover soon miss please subscribe help u lot take one click gt,1,YouTube
song never get old love,0,YouTube
gofundme com grwmps,1,YouTube
bitch,0,YouTube
made china,0,YouTube
milions comentars bilion view,0,YouTube
zero,0,YouTube
mix psy gangnam style v psy gangnam style v,0,YouTube
billion view holy shit,0,YouTube
suscribe channel please,1,YouTube
guy please subscribe help channel grow please guy,1,YouTube
great music anyway,0,YouTube
psy gangnam style v [url],0,YouTube
somebody wake get billion view,0,YouTube
psy got lot money youtube got billion view view world,0,YouTube
justin bieber gay,0,YouTube
gotta say funny well billion worth funny still clicked everything went uphill least jb shit,0,YouTube
[url] plz,1,YouTube
stupid people video doesnt billion visit thousand million,0,YouTube
[url],1,YouTube
check men put allot effort music unfortunatly many watch,1,YouTube
pls [url] help get vip gun cross fire al,1,YouTube
add [url],1,YouTube
check channel please singing cover,1,YouTube
think place promote channel comment section lol,0,YouTube
get free gift card pay pal money,1,YouTube
check pivot animation channel,1,YouTube
follow twitter amp ig killuminati,1,YouTube
check gaming,1,YouTube
oppa yeah best song,0,YouTube
[url],1,YouTube
[url],1,YouTube
[url],1,YouTube
reminds song [url],1,YouTube
free gift card go [url],1,YouTube
follow twitter mscalifornia,1,YouTube
every single type face earth,0,YouTube
check channel new song static love,1,YouTube
incmedia org truth meet,1,YouTube
look channel make minecraft pe let play,1,YouTube
found song,0,YouTube
billion,0,YouTube
song name,0,YouTube
please like [url],1,YouTube
hey guy wouldnt mind chacking rap give like il giver vids like,1,YouTube
[url],1,YouTube
subscribe subscribe back,1,YouTube
[url],1,YouTube
christmas song visit channel,1,YouTube
[url],1,YouTube
subscribe subscribe back plus nice as lol,1,YouTube
[url],1,YouTube
[url],1,YouTube
[url],1,YouTube
please give u chance check new music video channel disappointed,1,YouTube
please subscribe,1,YouTube
please check vidios,1,YouTube
oppa gangnam style,0,YouTube
oppa lt,0,YouTube
funny awesomeness lol aaaaaaa sexy lada,0,YouTube
viewed video world,0,YouTube
check view holy shit,0,YouTube
[url] click [url] [url] [url] [url] [url] [url],1,YouTube
tried new social network tsu new social network special thing share post well fb twitter even get paid registr [url],1,YouTube
guy yellow suit kinda look like jae suk,0,YouTube
billion view there million people world multiple account,0,YouTube
wat da fuck viewed video youtube,0,YouTube
omg people watched video billion people world billion watched,0,YouTube
saying,0,YouTube
many view,0,YouTube
omg billion view,0,YouTube
subscribe plz plz plz plz plz plz,1,YouTube
[url] follow twitch enter keyword chance winning really nice expensive gun csgo sell steam market,1,YouTube
[url] get money,1,YouTube
fantastic,0,YouTube
population world billion,0,YouTube
view,0,YouTube
wow min ago,0,YouTube
super,0,YouTube
p e c e amp l v e,0,YouTube
music video get billion view im one watching earth lol,0,YouTube
please friend read book repass [url],1,YouTube
subscribe,1,YouTube
still best,0,YouTube
liked video youtube,0,YouTube
still watching year later,0,YouTube
billion view piece shit r e u k n g e,0,YouTube
gangman sty drop bass,0,YouTube
song ever reach billion view,0,YouTube
anyone sub channel,1,YouTube
prehistoric song,0,YouTube
think smart headbutt face,0,YouTube
